pid,condition,class,type,accuracy
26,NUC,0,positive,1.0
26,NUC,1,positive,0.6666666666666666
26,NUC,2,positive,0.3333333333333333
26,NUC,3,positive,1.0
26,NUC,4,positive,0.3333333333333333
26,NUC,5,positive,1.0
26,NUC,6,positive,0.0
26,NUC,7,positive,1.0
26,NUC,0,negative,1.0
26,NUC,1,negative,0.3333333333333333
26,NUC,2,negative,0.3333333333333333
26,NUC,3,negative,0.6666666666666666
26,NUC,4,negative,0.0
26,NUC,5,negative,0.6666666666666666
26,NUC,6,negative,0.0
26,NUC,7,negative,0.3333333333333333
17,NUC,0,positive,0.3333333333333333
17,NUC,1,positive,1.0
17,NUC,2,positive,1.0
17,NUC,3,positive,0.3333333333333333
17,NUC,4,positive,1.0
17,NUC,5,positive,0.0
17,NUC,6,positive,0.3333333333333333
17,NUC,7,positive,1.0
17,NUC,0,negative,0.3333333333333333
17,NUC,1,negative,0.0
17,NUC,2,negative,1.0
17,NUC,3,negative,0.6666666666666666
17,NUC,4,negative,0.0
17,NUC,5,negative,0.0
17,NUC,6,negative,0.0
17,NUC,7,negative,1.0
16,NUC,0,positive,0.0
16,NUC,1,positive,0.0
16,NUC,2,positive,1.0
16,NUC,3,positive,0.3333333333333333
16,NUC,4,positive,0.0
16,NUC,5,positive,1.0
16,NUC,6,positive,0.0
16,NUC,7,positive,1.0
16,NUC,0,negative,0.0
16,NUC,1,negative,0.0
16,NUC,2,negative,0.0
16,NUC,3,negative,0.0
16,NUC,4,negative,0.0
16,NUC,5,negative,0.0
16,NUC,6,negative,0.3333333333333333
16,NUC,7,negative,1.0
18,NUC,0,positive,0.3333333333333333
18,NUC,1,positive,0.0
18,NUC,2,positive,0.3333333333333333
18,NUC,3,positive,0.3333333333333333
18,NUC,4,positive,0.6666666666666666
18,NUC,5,positive,1.0
18,NUC,6,positive,1.0
18,NUC,7,positive,1.0
18,NUC,0,negative,0.0
18,NUC,1,negative,0.3333333333333333
18,NUC,2,negative,0.0
18,NUC,3,negative,0.0
18,NUC,4,negative,0.3333333333333333
18,NUC,5,negative,0.3333333333333333
18,NUC,6,negative,1.0
18,NUC,7,negative,0.3333333333333333
42,NUC,0,positive,0.6666666666666666
42,NUC,1,positive,0.0
42,NUC,2,positive,0.6666666666666666
42,NUC,3,positive,1.0
42,NUC,4,positive,1.0
42,NUC,5,positive,1.0
42,NUC,6,positive,0.6666666666666666
42,NUC,7,positive,1.0
42,NUC,0,negative,0.0
42,NUC,1,negative,0.0
42,NUC,2,negative,0.3333333333333333
42,NUC,3,negative,1.0
42,NUC,4,negative,0.6666666666666666
42,NUC,5,negative,1.0
42,NUC,6,negative,0.0
42,NUC,7,negative,1.0
45,NUC,0,positive,0.3333333333333333
45,NUC,1,positive,0.3333333333333333
45,NUC,2,positive,1.0
45,NUC,3,positive,0.6666666666666666
45,NUC,4,positive,0.6666666666666666
45,NUC,5,positive,0.6666666666666666
45,NUC,6,positive,0.6666666666666666
45,NUC,7,positive,0.6666666666666666
45,NUC,0,negative,0.0
45,NUC,1,negative,0.0
45,NUC,2,negative,0.0
45,NUC,3,negative,0.0
45,NUC,4,negative,0.0
45,NUC,5,negative,0.0
45,NUC,6,negative,0.0
45,NUC,7,negative,0.0
60,NUC,0,positive,0.6666666666666666
60,NUC,1,positive,0.0
60,NUC,2,positive,0.0
60,NUC,3,positive,1.0
60,NUC,4,positive,1.0
60,NUC,5,positive,0.6666666666666666
60,NUC,6,positive,0.3333333333333333
60,NUC,7,positive,1.0
60,NUC,0,negative,0.0
60,NUC,1,negative,1.0
60,NUC,2,negative,0.0
60,NUC,3,negative,0.0
60,NUC,4,negative,0.0
60,NUC,5,negative,0.0
60,NUC,6,negative,0.0
60,NUC,7,negative,1.0
57,NUC,0,positive,0.6666666666666666
57,NUC,1,positive,0.0
57,NUC,2,positive,1.0
57,NUC,3,positive,1.0
57,NUC,4,positive,1.0
57,NUC,5,positive,1.0
57,NUC,6,positive,1.0
57,NUC,7,positive,1.0
57,NUC,0,negative,0.0
57,NUC,1,negative,0.0
57,NUC,2,negative,0.3333333333333333
57,NUC,3,negative,0.3333333333333333
57,NUC,4,negative,1.0
57,NUC,5,negative,0.0
57,NUC,6,negative,0.3333333333333333
57,NUC,7,negative,0.0
61,NUC,0,positive,0.0
61,NUC,1,positive,1.0
61,NUC,2,positive,1.0
61,NUC,3,positive,1.0
61,NUC,4,positive,0.3333333333333333
61,NUC,5,positive,1.0
61,NUC,6,positive,0.0
61,NUC,7,positive,1.0
61,NUC,0,negative,1.0
61,NUC,1,negative,0.3333333333333333
61,NUC,2,negative,0.0
61,NUC,3,negative,0.0
61,NUC,4,negative,1.0
61,NUC,5,negative,0.0
61,NUC,6,negative,0.6666666666666666
61,NUC,7,negative,1.0
32,NUC,0,positive,0.0
32,NUC,1,positive,1.0
32,NUC,2,positive,0.3333333333333333
32,NUC,3,positive,0.0
32,NUC,4,positive,1.0
32,NUC,5,positive,0.6666666666666666
32,NUC,6,positive,0.6666666666666666
32,NUC,7,positive,0.0
32,NUC,0,negative,0.0
32,NUC,1,negative,1.0
32,NUC,2,negative,0.3333333333333333
32,NUC,3,negative,0.3333333333333333
32,NUC,4,negative,0.0
32,NUC,5,negative,1.0
32,NUC,6,negative,0.0
32,NUC,7,negative,0.0
35,NUC,0,positive,1.0
35,NUC,1,positive,0.3333333333333333
35,NUC,2,positive,0.6666666666666666
35,NUC,3,positive,0.3333333333333333
35,NUC,4,positive,0.6666666666666666
35,NUC,5,positive,0.6666666666666666
35,NUC,6,positive,0.0
35,NUC,7,positive,0.6666666666666666
35,NUC,0,negative,0.0
35,NUC,1,negative,0.0
35,NUC,2,negative,0.6666666666666666
35,NUC,3,negative,0.3333333333333333
35,NUC,4,negative,0.0
35,NUC,5,negative,0.3333333333333333
35,NUC,6,negative,0.0
35,NUC,7,negative,0.0
49,NUC,0,positive,1.0
49,NUC,1,positive,1.0
49,NUC,2,positive,0.6666666666666666
49,NUC,3,positive,1.0
49,NUC,4,positive,1.0
49,NUC,5,positive,0.0
49,NUC,6,positive,0.3333333333333333
49,NUC,7,positive,1.0
49,NUC,0,negative,0.0
49,NUC,1,negative,0.6666666666666666
49,NUC,2,negative,0.0
49,NUC,3,negative,0.3333333333333333
49,NUC,4,negative,0.6666666666666666
49,NUC,5,negative,0.0
49,NUC,6,negative,0.3333333333333333
49,NUC,7,negative,0.0
25,NUC,0,positive,1.0
25,NUC,1,positive,1.0
25,NUC,2,positive,1.0
25,NUC,3,positive,1.0
25,NUC,4,positive,1.0
25,NUC,5,positive,1.0
25,NUC,6,positive,0.0
25,NUC,7,positive,0.6666666666666666
25,NUC,0,negative,0.0
25,NUC,1,negative,0.0
25,NUC,2,negative,0.0
25,NUC,3,negative,0.0
25,NUC,4,negative,0.6666666666666666
25,NUC,5,negative,0.3333333333333333
25,NUC,6,negative,0.0
25,NUC,7,negative,0.6666666666666666
15,NUC,0,positive,1.0
15,NUC,1,positive,0.3333333333333333
15,NUC,2,positive,0.6666666666666666
15,NUC,3,positive,0.0
15,NUC,4,positive,0.0
15,NUC,5,positive,0.0
15,NUC,6,positive,1.0
15,NUC,7,positive,1.0
15,NUC,0,negative,0.0
15,NUC,1,negative,0.0
15,NUC,2,negative,0.0
15,NUC,3,negative,0.0
15,NUC,4,negative,0.6666666666666666
15,NUC,5,negative,0.0
15,NUC,6,negative,0.0
15,NUC,7,negative,0.3333333333333333
39,NUC,0,positive,0.0
39,NUC,1,positive,0.3333333333333333
39,NUC,2,positive,0.3333333333333333
39,NUC,3,positive,0.3333333333333333
39,NUC,4,positive,0.0
39,NUC,5,positive,0.3333333333333333
39,NUC,6,positive,0.0
39,NUC,7,positive,1.0
39,NUC,0,negative,0.0
39,NUC,1,negative,0.3333333333333333
39,NUC,2,negative,0.0
39,NUC,3,negative,0.0
39,NUC,4,negative,0.0
39,NUC,5,negative,0.0
39,NUC,6,negative,0.0
39,NUC,7,negative,0.3333333333333333
64,NUC,0,positive,0.3333333333333333
64,NUC,1,positive,0.6666666666666666
64,NUC,2,positive,0.6666666666666666
64,NUC,3,positive,0.6666666666666666
64,NUC,4,positive,0.0
64,NUC,5,positive,1.0
64,NUC,6,positive,0.3333333333333333
64,NUC,7,positive,0.6666666666666666
64,NUC,0,negative,0.0
64,NUC,1,negative,0.3333333333333333
64,NUC,2,negative,0.0
64,NUC,3,negative,1.0
64,NUC,4,negative,0.3333333333333333
64,NUC,5,negative,0.3333333333333333
64,NUC,6,negative,0.6666666666666666
64,NUC,7,negative,0.6666666666666666
52,NUC,0,positive,1.0
52,NUC,1,positive,0.3333333333333333
52,NUC,2,positive,0.3333333333333333
52,NUC,3,positive,0.6666666666666666
52,NUC,4,positive,1.0
52,NUC,5,positive,1.0
52,NUC,6,positive,1.0
52,NUC,7,positive,1.0
52,NUC,0,negative,0.3333333333333333
52,NUC,1,negative,0.3333333333333333
52,NUC,2,negative,0.0
52,NUC,3,negative,0.0
52,NUC,4,negative,0.3333333333333333
52,NUC,5,negative,0.0
52,NUC,6,negative,0.6666666666666666
52,NUC,7,negative,1.0
28,UC,0,positive,0.6666666666666666
28,UC,1,positive,1.0
28,UC,2,positive,0.3333333333333333
28,UC,3,positive,0.0
28,UC,4,positive,0.0
28,UC,5,positive,1.0
28,UC,6,positive,1.0
28,UC,7,positive,1.0
28,UC,0,negative,0.3333333333333333
28,UC,1,negative,0.0
28,UC,2,negative,0.3333333333333333
28,UC,3,negative,0.0
28,UC,4,negative,0.0
28,UC,5,negative,1.0
28,UC,6,negative,1.0
28,UC,7,negative,0.6666666666666666
10,UC,0,positive,0.6666666666666666
10,UC,1,positive,0.0
10,UC,2,positive,0.0
10,UC,3,positive,0.0
10,UC,4,positive,0.6666666666666666
10,UC,5,positive,0.0
10,UC,6,positive,0.3333333333333333
10,UC,7,positive,0.3333333333333333
10,UC,0,negative,0.0
10,UC,1,negative,0.0
10,UC,2,negative,0.0
10,UC,3,negative,0.3333333333333333
10,UC,4,negative,0.0
10,UC,5,negative,0.0
10,UC,6,negative,0.3333333333333333
10,UC,7,negative,0.3333333333333333
44,UC,0,positive,0.0
44,UC,1,positive,1.0
44,UC,2,positive,0.0
44,UC,3,positive,0.6666666666666666
44,UC,4,positive,1.0
44,UC,5,positive,1.0
44,UC,6,positive,1.0
44,UC,7,positive,0.6666666666666666
44,UC,0,negative,0.3333333333333333
44,UC,1,negative,0.3333333333333333
44,UC,2,negative,0.0
44,UC,3,negative,0.3333333333333333
44,UC,4,negative,0.6666666666666666
44,UC,5,negative,0.6666666666666666
44,UC,6,negative,0.3333333333333333
44,UC,7,negative,0.0
11,UC,0,positive,0.6666666666666666
11,UC,1,positive,0.0
11,UC,2,positive,0.0
11,UC,3,positive,0.0
11,UC,4,positive,0.3333333333333333
11,UC,5,positive,1.0
11,UC,6,positive,0.3333333333333333
11,UC,7,positive,0.6666666666666666
11,UC,0,negative,0.0
11,UC,1,negative,0.0
11,UC,2,negative,0.0
11,UC,3,negative,0.0
11,UC,4,negative,0.0
11,UC,5,negative,1.0
11,UC,6,negative,0.3333333333333333
11,UC,7,negative,0.0
29,UC,0,positive,0.3333333333333333
29,UC,1,positive,1.0
29,UC,2,positive,1.0
29,UC,3,positive,0.3333333333333333
29,UC,4,positive,0.6666666666666666
29,UC,5,positive,0.6666666666666666
29,UC,6,positive,1.0
29,UC,7,positive,1.0
29,UC,0,negative,0.0
29,UC,1,negative,0.6666666666666666
29,UC,2,negative,0.0
29,UC,3,negative,0.0
29,UC,4,negative,0.0
29,UC,5,negative,0.0
29,UC,6,negative,0.6666666666666666
29,UC,7,negative,0.3333333333333333
67,UC,0,positive,0.6666666666666666
67,UC,1,positive,1.0
67,UC,2,positive,1.0
67,UC,3,positive,0.0
67,UC,4,positive,0.6666666666666666
67,UC,5,positive,0.6666666666666666
67,UC,6,positive,0.6666666666666666
67,UC,7,positive,0.0
67,UC,0,negative,0.0
67,UC,1,negative,1.0
67,UC,2,negative,0.6666666666666666
67,UC,3,negative,0.0
67,UC,4,negative,0.3333333333333333
67,UC,5,negative,0.0
67,UC,6,negative,1.0
67,UC,7,negative,0.0
56,UC,0,positive,0.0
56,UC,1,positive,0.0
56,UC,2,positive,1.0
56,UC,3,positive,0.3333333333333333
56,UC,4,positive,0.0
56,UC,5,positive,1.0
56,UC,6,positive,0.6666666666666666
56,UC,7,positive,0.6666666666666666
56,UC,0,negative,0.3333333333333333
56,UC,1,negative,0.0
56,UC,2,negative,0.6666666666666666
56,UC,3,negative,0.3333333333333333
56,UC,4,negative,0.0
56,UC,5,negative,1.0
56,UC,6,negative,0.6666666666666666
56,UC,7,negative,0.3333333333333333
51,UC,0,positive,0.3333333333333333
51,UC,1,positive,1.0
51,UC,2,positive,0.0
51,UC,3,positive,0.0
51,UC,4,positive,0.0
51,UC,5,positive,0.3333333333333333
51,UC,6,positive,0.3333333333333333
51,UC,7,positive,0.0
51,UC,0,negative,0.3333333333333333
51,UC,1,negative,0.3333333333333333
51,UC,2,negative,0.3333333333333333
51,UC,3,negative,0.0
51,UC,4,negative,0.0
51,UC,5,negative,0.6666666666666666
51,UC,6,negative,0.0
51,UC,7,negative,0.0
34,UC,0,positive,0.6666666666666666
34,UC,1,positive,0.0
34,UC,2,positive,0.6666666666666666
34,UC,3,positive,0.0
34,UC,4,positive,0.6666666666666666
34,UC,5,positive,0.3333333333333333
34,UC,6,positive,1.0
34,UC,7,positive,1.0
34,UC,0,negative,0.6666666666666666
34,UC,1,negative,0.6666666666666666
34,UC,2,negative,1.0
34,UC,3,negative,0.3333333333333333
34,UC,4,negative,0.6666666666666666
34,UC,5,negative,0.6666666666666666
34,UC,6,negative,0.6666666666666666
34,UC,7,negative,1.0
33,UC,0,positive,0.6666666666666666
33,UC,1,positive,0.3333333333333333
33,UC,2,positive,0.6666666666666666
33,UC,3,positive,0.0
33,UC,4,positive,1.0
33,UC,5,positive,0.3333333333333333
33,UC,6,positive,0.6666666666666666
33,UC,7,positive,0.6666666666666666
33,UC,0,negative,0.0
33,UC,1,negative,0.0
33,UC,2,negative,0.3333333333333333
33,UC,3,negative,0.0
33,UC,4,negative,0.3333333333333333
33,UC,5,negative,0.0
33,UC,6,negative,0.0
33,UC,7,negative,0.0
9,UC,0,positive,0.0
9,UC,1,positive,0.0
9,UC,2,positive,1.0
9,UC,3,positive,1.0
9,UC,4,positive,1.0
9,UC,5,positive,0.0
9,UC,6,positive,0.6666666666666666
9,UC,7,positive,1.0
9,UC,0,negative,0.0
9,UC,1,negative,0.0
9,UC,2,negative,0.0
9,UC,3,negative,0.0
9,UC,4,negative,0.0
9,UC,5,negative,0.0
9,UC,6,negative,0.0
9,UC,7,negative,0.6666666666666666
13,UC,0,positive,0.0
13,UC,1,positive,1.0
13,UC,2,positive,0.3333333333333333
13,UC,3,positive,0.0
13,UC,4,positive,0.3333333333333333
13,UC,5,positive,1.0
13,UC,6,positive,1.0
13,UC,7,positive,1.0
13,UC,0,negative,0.0
13,UC,1,negative,0.0
13,UC,2,negative,0.0
13,UC,3,negative,0.0
13,UC,4,negative,0.0
13,UC,5,negative,0.0
13,UC,6,negative,0.3333333333333333
13,UC,7,negative,1.0
48,UC,0,positive,0.6666666666666666
48,UC,1,positive,0.3333333333333333
48,UC,2,positive,0.6666666666666666
48,UC,3,positive,0.0
48,UC,4,positive,1.0
48,UC,5,positive,0.6666666666666666
48,UC,6,positive,1.0
48,UC,7,positive,0.0
48,UC,0,negative,0.0
48,UC,1,negative,0.6666666666666666
48,UC,2,negative,1.0
48,UC,3,negative,0.3333333333333333
48,UC,4,negative,0.6666666666666666
48,UC,5,negative,0.0
48,UC,6,negative,0.6666666666666666
48,UC,7,negative,0.0
41,UC,0,positive,1.0
41,UC,1,positive,1.0
41,UC,2,positive,1.0
41,UC,3,positive,1.0
41,UC,4,positive,0.0
41,UC,5,positive,1.0
41,UC,6,positive,1.0
41,UC,7,positive,1.0
41,UC,0,negative,0.0
41,UC,1,negative,0.3333333333333333
41,UC,2,negative,0.0
41,UC,3,negative,1.0
41,UC,4,negative,0.0
41,UC,5,negative,0.0
41,UC,6,negative,0.0
41,UC,7,negative,0.3333333333333333
12,UC,0,positive,0.3333333333333333
12,UC,1,positive,1.0
12,UC,2,positive,0.6666666666666666
12,UC,3,positive,0.0
12,UC,4,positive,0.0
12,UC,5,positive,0.3333333333333333
12,UC,6,positive,0.3333333333333333
12,UC,7,positive,0.6666666666666666
12,UC,0,negative,0.3333333333333333
12,UC,1,negative,0.0
12,UC,2,negative,0.3333333333333333
12,UC,3,negative,0.0
12,UC,4,negative,0.3333333333333333
12,UC,5,negative,0.3333333333333333
12,UC,6,negative,0.3333333333333333
12,UC,7,negative,0.6666666666666666
38,UC,0,positive,0.6666666666666666
38,UC,1,positive,0.0
38,UC,2,positive,0.3333333333333333
38,UC,3,positive,0.0
38,UC,4,positive,0.3333333333333333
38,UC,5,positive,0.3333333333333333
38,UC,6,positive,0.6666666666666666
38,UC,7,positive,0.0
38,UC,0,negative,0.0
38,UC,1,negative,0.3333333333333333
38,UC,2,negative,0.0
38,UC,3,negative,0.0
38,UC,4,negative,0.0
38,UC,5,negative,0.0
38,UC,6,negative,0.6666666666666666
38,UC,7,negative,0.0
65,UC,0,positive,0.3333333333333333
65,UC,1,positive,0.3333333333333333
65,UC,2,positive,0.0
65,UC,3,positive,0.6666666666666666
65,UC,4,positive,0.0
65,UC,5,positive,0.3333333333333333
65,UC,6,positive,1.0
65,UC,7,positive,0.6666666666666666
65,UC,0,negative,0.3333333333333333
65,UC,1,negative,0.3333333333333333
65,UC,2,negative,0.3333333333333333
65,UC,3,negative,0.3333333333333333
65,UC,4,negative,0.0
65,UC,5,negative,0.0
65,UC,6,negative,0.3333333333333333
65,UC,7,negative,0.6666666666666666
21,NUCS,0,positive,0.0
21,NUCS,1,positive,0.6666666666666666
21,NUCS,2,positive,0.6666666666666666
21,NUCS,3,positive,0.0
21,NUCS,4,positive,1.0
21,NUCS,5,positive,1.0
21,NUCS,6,positive,0.6666666666666666
21,NUCS,7,positive,0.3333333333333333
21,NUCS,0,negative,0.0
21,NUCS,1,negative,0.6666666666666666
21,NUCS,2,negative,0.6666666666666666
21,NUCS,3,negative,0.3333333333333333
21,NUCS,4,negative,0.3333333333333333
21,NUCS,5,negative,0.6666666666666666
21,NUCS,6,negative,0.0
21,NUCS,7,negative,1.0
43,NUCS,0,positive,0.0
43,NUCS,1,positive,1.0
43,NUCS,2,positive,0.0
43,NUCS,3,positive,0.0
43,NUCS,4,positive,0.6666666666666666
43,NUCS,5,positive,1.0
43,NUCS,6,positive,0.6666666666666666
43,NUCS,7,positive,1.0
43,NUCS,0,negative,0.0
43,NUCS,1,negative,0.3333333333333333
43,NUCS,2,negative,0.0
43,NUCS,3,negative,0.0
43,NUCS,4,negative,0.0
43,NUCS,5,negative,0.6666666666666666
43,NUCS,6,negative,0.0
43,NUCS,7,negative,0.3333333333333333
20,NUCS,0,positive,0.0
20,NUCS,1,positive,0.0
20,NUCS,2,positive,1.0
20,NUCS,3,positive,0.0
20,NUCS,4,positive,0.0
20,NUCS,5,positive,1.0
20,NUCS,6,positive,1.0
20,NUCS,7,positive,1.0
20,NUCS,0,negative,0.3333333333333333
20,NUCS,1,negative,0.0
20,NUCS,2,negative,0.3333333333333333
20,NUCS,3,negative,0.0
20,NUCS,4,negative,0.0
20,NUCS,5,negative,1.0
20,NUCS,6,negative,0.0
20,NUCS,7,negative,1.0
58,NUCS,0,positive,0.0
58,NUCS,1,positive,0.0
58,NUCS,2,positive,1.0
58,NUCS,3,positive,0.3333333333333333
58,NUCS,4,positive,0.6666666666666666
58,NUCS,5,positive,0.0
58,NUCS,6,positive,0.0
58,NUCS,7,positive,1.0
58,NUCS,0,negative,0.0
58,NUCS,1,negative,0.0
58,NUCS,2,negative,0.0
58,NUCS,3,negative,0.0
58,NUCS,4,negative,0.0
58,NUCS,5,negative,0.0
58,NUCS,6,negative,0.0
58,NUCS,7,negative,1.0
50,NUCS,0,positive,0.0
50,NUCS,1,positive,1.0
50,NUCS,2,positive,0.3333333333333333
50,NUCS,3,positive,1.0
50,NUCS,4,positive,0.0
50,NUCS,5,positive,0.6666666666666666
50,NUCS,6,positive,0.6666666666666666
50,NUCS,7,positive,0.6666666666666666
50,NUCS,0,negative,0.0
50,NUCS,1,negative,0.3333333333333333
50,NUCS,2,negative,0.0
50,NUCS,3,negative,1.0
50,NUCS,4,negative,0.0
50,NUCS,5,negative,0.0
50,NUCS,6,negative,0.3333333333333333
50,NUCS,7,negative,0.0
66,NUCS,0,positive,0.6666666666666666
66,NUCS,1,positive,1.0
66,NUCS,2,positive,1.0
66,NUCS,3,positive,0.3333333333333333
66,NUCS,4,positive,1.0
66,NUCS,5,positive,0.3333333333333333
66,NUCS,6,positive,1.0
66,NUCS,7,positive,1.0
66,NUCS,0,negative,0.3333333333333333
66,NUCS,1,negative,0.0
66,NUCS,2,negative,0.3333333333333333
66,NUCS,3,negative,0.3333333333333333
66,NUCS,4,negative,1.0
66,NUCS,5,negative,0.6666666666666666
66,NUCS,6,negative,0.0
66,NUCS,7,negative,1.0
40,NUCS,0,positive,1.0
40,NUCS,1,positive,0.3333333333333333
40,NUCS,2,positive,0.6666666666666666
40,NUCS,3,positive,1.0
40,NUCS,4,positive,1.0
40,NUCS,5,positive,0.6666666666666666
40,NUCS,6,positive,1.0
40,NUCS,7,positive,0.6666666666666666
40,NUCS,0,negative,0.0
40,NUCS,1,negative,0.6666666666666666
40,NUCS,2,negative,0.0
40,NUCS,3,negative,0.6666666666666666
40,NUCS,4,negative,0.0
40,NUCS,5,negative,0.0
40,NUCS,6,negative,0.0
40,NUCS,7,negative,0.6666666666666666
47,NUCS,0,positive,1.0
47,NUCS,1,positive,0.6666666666666666
47,NUCS,2,positive,0.6666666666666666
47,NUCS,3,positive,1.0
47,NUCS,4,positive,1.0
47,NUCS,5,positive,1.0
47,NUCS,6,positive,1.0
47,NUCS,7,positive,1.0
47,NUCS,0,negative,0.0
47,NUCS,1,negative,0.0
47,NUCS,2,negative,0.0
47,NUCS,3,negative,0.6666666666666666
47,NUCS,4,negative,0.6666666666666666
47,NUCS,5,negative,0.6666666666666666
47,NUCS,6,negative,0.0
47,NUCS,7,negative,0.0
22,NUCS,0,positive,1.0
22,NUCS,1,positive,1.0
22,NUCS,2,positive,1.0
22,NUCS,3,positive,0.3333333333333333
22,NUCS,4,positive,0.6666666666666666
22,NUCS,5,positive,1.0
22,NUCS,6,positive,1.0
22,NUCS,7,positive,1.0
22,NUCS,0,negative,0.0
22,NUCS,1,negative,0.0
22,NUCS,2,negative,0.0
22,NUCS,3,negative,0.3333333333333333
22,NUCS,4,negative,0.0
22,NUCS,5,negative,0.0
22,NUCS,6,negative,1.0
22,NUCS,7,negative,0.0
24,NUCS,0,positive,1.0
24,NUCS,1,positive,1.0
24,NUCS,2,positive,1.0
24,NUCS,3,positive,0.6666666666666666
24,NUCS,4,positive,1.0
24,NUCS,5,positive,0.0
24,NUCS,6,positive,1.0
24,NUCS,7,positive,0.0
24,NUCS,0,negative,0.6666666666666666
24,NUCS,1,negative,0.0
24,NUCS,2,negative,0.3333333333333333
24,NUCS,3,negative,1.0
24,NUCS,4,negative,0.3333333333333333
24,NUCS,5,negative,1.0
24,NUCS,6,negative,1.0
24,NUCS,7,negative,0.0
23,NUCS,0,positive,0.3333333333333333
23,NUCS,1,positive,0.6666666666666666
23,NUCS,2,positive,0.6666666666666666
23,NUCS,3,positive,0.0
23,NUCS,4,positive,0.6666666666666666
23,NUCS,5,positive,1.0
23,NUCS,6,positive,1.0
23,NUCS,7,positive,1.0
23,NUCS,0,negative,0.0
23,NUCS,1,negative,0.0
23,NUCS,2,negative,0.0
23,NUCS,3,negative,0.3333333333333333
23,NUCS,4,negative,0.0
23,NUCS,5,negative,0.0
23,NUCS,6,negative,0.3333333333333333
23,NUCS,7,negative,0.0
30,NUCS,0,positive,0.6666666666666666
30,NUCS,1,positive,0.6666666666666666
30,NUCS,2,positive,1.0
30,NUCS,3,positive,0.6666666666666666
30,NUCS,4,positive,1.0
30,NUCS,5,positive,0.6666666666666666
30,NUCS,6,positive,0.6666666666666666
30,NUCS,7,positive,1.0
30,NUCS,0,negative,0.6666666666666666
30,NUCS,1,negative,1.0
30,NUCS,2,negative,0.6666666666666666
30,NUCS,3,negative,0.0
30,NUCS,4,negative,0.6666666666666666
30,NUCS,5,negative,0.3333333333333333
30,NUCS,6,negative,0.0
30,NUCS,7,negative,0.3333333333333333
37,NUCS,0,positive,1.0
37,NUCS,1,positive,0.3333333333333333
37,NUCS,2,positive,0.6666666666666666
37,NUCS,3,positive,1.0
37,NUCS,4,positive,0.6666666666666666
37,NUCS,5,positive,1.0
37,NUCS,6,positive,1.0
37,NUCS,7,positive,0.0
37,NUCS,0,negative,1.0
37,NUCS,1,negative,1.0
37,NUCS,2,negative,0.0
37,NUCS,3,negative,0.6666666666666666
37,NUCS,4,negative,0.0
37,NUCS,5,negative,0.3333333333333333
37,NUCS,6,negative,0.0
37,NUCS,7,negative,0.0
63,NUCS,0,positive,0.0
63,NUCS,1,positive,0.6666666666666666
63,NUCS,2,positive,0.0
63,NUCS,3,positive,0.0
63,NUCS,4,positive,0.0
63,NUCS,5,positive,0.0
63,NUCS,6,positive,0.6666666666666666
63,NUCS,7,positive,0.0
63,NUCS,0,negative,0.0
63,NUCS,1,negative,0.0
63,NUCS,2,negative,0.0
63,NUCS,3,negative,0.0
63,NUCS,4,negative,0.0
63,NUCS,5,negative,0.0
63,NUCS,6,negative,0.3333333333333333
63,NUCS,7,negative,0.0
36,NUCS,0,positive,1.0
36,NUCS,1,positive,1.0
36,NUCS,2,positive,0.6666666666666666
36,NUCS,3,positive,0.0
36,NUCS,4,positive,0.6666666666666666
36,NUCS,5,positive,0.0
36,NUCS,6,positive,0.6666666666666666
36,NUCS,7,positive,0.3333333333333333
36,NUCS,0,negative,0.3333333333333333
36,NUCS,1,negative,1.0
36,NUCS,2,negative,0.6666666666666666
36,NUCS,3,negative,0.0
36,NUCS,4,negative,0.3333333333333333
36,NUCS,5,negative,0.0
36,NUCS,6,negative,0.6666666666666666
36,NUCS,7,negative,0.0
31,NUCS,0,positive,1.0
31,NUCS,1,positive,1.0
31,NUCS,2,positive,1.0
31,NUCS,3,positive,0.3333333333333333
31,NUCS,4,positive,0.0
31,NUCS,5,positive,0.0
31,NUCS,6,positive,0.6666666666666666
31,NUCS,7,positive,1.0
31,NUCS,0,negative,0.0
31,NUCS,1,negative,0.3333333333333333
31,NUCS,2,negative,0.0
31,NUCS,3,negative,0.0
31,NUCS,4,negative,0.0
31,NUCS,5,negative,0.3333333333333333
31,NUCS,6,negative,0.6666666666666666
31,NUCS,7,negative,0.3333333333333333
62,NUCS,0,positive,0.0
62,NUCS,1,positive,0.6666666666666666
62,NUCS,2,positive,1.0
62,NUCS,3,positive,1.0
62,NUCS,4,positive,0.3333333333333333
62,NUCS,5,positive,0.6666666666666666
62,NUCS,6,positive,1.0
62,NUCS,7,positive,0.6666666666666666
62,NUCS,0,negative,0.3333333333333333
62,NUCS,1,negative,0.0
62,NUCS,2,negative,0.6666666666666666
62,NUCS,3,negative,0.3333333333333333
62,NUCS,4,negative,0.3333333333333333
62,NUCS,5,negative,0.0
62,NUCS,6,negative,0.0
62,NUCS,7,negative,0.6666666666666666
